#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
RP20_CCG008228	RP20_CCG011874	7160.A0A182GDW5	7160.A0A023EQV8	0.056	0	0	0	0.103	0	0.321	0.103	0.415
RP20_CCG008228	RP20_CCG023148	7160.A0A182GDW5	7160.A0A182H742	0.056	0	0	0	0.103	0	0.321	0.103	0.415
RP20_CCG008228	RP20_CCG016161	7160.A0A182GDW5	7160.A0A182GUV4	0.084	0	0	0	0.089	0	0	0.377	0.434
RP20_CCG008228	RP20_CCG016238	7160.A0A182GDW5	7160.A0A182GV15	0.073	0	0	0	0.222	0	0	0.489	0.599
RP20_CCG008228	RP20_CCG015997	7160.A0A182GDW5	7160.A0A182GUI2	0	0	0	0	0.069	0	0	0.594	0.605
RP20_CCG008228	RP20_CCG009705	7160.A0A182GDW5	7160.A0A182GGX6	0	0	0	0	0.555	0	0	0.304	0.677
RP20_CCG008228	RP20_CCG011302	7160.A0A182GDW5	7160.A0A182GK33	0.108	0	0	0	0	0	0.900	0	0.906
RP20_CCG008319	RP20_CCG013225	7160.A0A182GE26	7160.A0A182GP17	0	0	0	0	0.108	0.150	0.289	0.089	0.443
RP20_CCG008319	RP20_CCG024561	7160.A0A182GE26	7160.A0A182H9A7	0	0	0	0	0.042	0.424	0.294	0.195	0.644
RP20_CCG008319	RP20_CCG027115	7160.A0A182GE26	7160.A0A182HDC1	0	0	0	0	0.054	0.806	0	0.151	0.830
RP20_CCG008319	RP20_CCG011270	7160.A0A182GE26	7160.A0A182GK16	0	0	0	0	0	0.808	0.900	0.213	0.983
RP20_CCG008334	RP20_CCG028043	7160.A0A182GE35	7160.A0A182HEP5	0	0	0	0	0.042	0	0	0.495	0.495
RP20_CCG008334	RP20_CCG016021	7160.A0A182GE35	7160.A0A182GUJ6	0	0	0	0	0	0.409	0.169	0.124	0.532
RP20_CCG008406	RP20_CCG015580	7160.A0A182GE86	7160.A0A182GTN3	0	0	0	0.604	0.050	0.324	0.280	0	0.497
RP20_CCG008406	RP20_CCG016191	7160.A0A182GE86	7160.A0A182GUX7	0	0	0	0	0.064	0.453	0.072	0.145	0.539
RP20_CCG008406	RP20_CCG009705	7160.A0A182GE86	7160.A0A182GGX6	0	0	0	0	0.053	0.497	0	0.135	0.551
RP20_CCG008406	RP20_CCG016160	7160.A0A182GE86	7160.A0A182GUV3	0	0	0	0	0	0.543	0	0.101	0.571
RP20_CCG008406	RP20_CCG025859	7160.A0A182GE86	7160.A0A182HBD0	0	0	0	0	0.079	0.671	0	0.168	0.725
RP20_CCG008439	RP20_CCG010133	7160.A0A182GEB4	7160.A0A182GHS1	0	0	0	0	0.157	0.196	0.218	0.097	0.457
RP20_CCG008617	RP20_CCG010314	7160.A0A182GEP3	7160.A0A023EFS1	0	0	0	0	0.042	0.048	0.073	0.450	0.472
RP20_CCG008617	RP20_CCG018418	7160.A0A182GEP3	7160.A0A182GZ08	0.048	0	0	0	0	0	0.207	0.446	0.545
RP20_CCG008617	RP20_CCG011190	7160.A0A182GEP3	7160.A0A182GJV0	0.049	0	0	0	0.083	0	0.800	0.068	0.815
RP20_CCG008643	RP20_CCG015609	7160.A0A182GEQ8	7160.A0A182GTQ3	0	0	0	0	0	0.532	0.166	0.314	0.708
RP20_CCG008646	RP20_CCG024597	7160.A0A182GER1	7160.A0A182H9C6	0	0	0	0	0	0.448	0	0	0.448
RP20_CCG008646	RP20_CCG017609	7160.A0A182GER1	7160.A0A182GXI3	0	0	0	0	0.042	0.294	0.304	0	0.488
RP20_CCG008758	RP20_CCG020474	7160.A0A182GEY8	7160.A0A182H2N1	0	0	0	0	0	0.141	0	0.341	0.409
RP20_CCG008758	RP20_CCG022019	7160.A0A182GEY8	7160.A0A182H5B1	0	0	0	0	0.137	0.094	0	0.310	0.413
RP20_CCG008758	RP20_CCG027115	7160.A0A182GEY8	7160.A0A182HDC1	0	0	0	0	0.044	0	0	0.582	0.583
RP20_CCG008767	RP20_CCG021891	7160.A0A182GEZ6	7160.A0A182H540	0	0	0	0	0	0.081	0.389	0.097	0.448
RP20_CCG008767	RP20_CCG013614	7160.A0A182GEZ6	7160.A0A182GPU8	0	0	0	0	0.068	0.122	0	0.483	0.539
RP20_CCG008767	RP20_CCG020733	7160.A0A182GEZ6	7160.A0A182H356	0	0	0	0	0	0.477	0.937	0.233	0.972
RP20_CCG008879	RP20_CCG010259	7160.A0A182GF70	7160.A0A182GI06	0	0	0	0	0.043	0	0.903	0.070	0.907
RP20_CCG008947	RP20_CCG016093	7160.A0A182GFC6	7160.A0A023EKS2	0	0	0	0	0.251	0.141	0.098	0.128	0.426
RP20_CCG008947	RP20_CCG020979	7160.A0A182GFC6	7160.A0A182H3K3	0	0	0	0	0.133	0.212	0.094	0.295	0.505
RP20_CCG008994	RP20_CCG023468	7160.A0A182GFG3	7160.A0A182H7L6	0	0	0	0	0.048	0.323	0.280	0.097	0.524
RP20_CCG009046	RP20_CCG024490	7160.A0A182GFK3	7160.A0A182H959	0	0	0	0	0	0.538	0.105	0.087	0.589
RP20_CCG009132	RP20_CCG019551	7160.A0A182GFQ8	7160.A0A182H108	0	0	0	0	0	0	0	0.443	0.443
RP20_CCG009132	RP20_CCG025481	7160.A0A182GFQ8	7160.A0A182HAT0	0	0	0	0	0.044	0.358	0	0.218	0.478
RP20_CCG009132	RP20_CCG021504	7160.A0A182GFQ8	7160.A0A182H4G7	0	0	0	0	0.047	0.091	0	0.451	0.482
RP20_CCG009151	RP20_CCG017400	7160.A0A182GFS4	7160.A0A182GX42	0	0	0	0	0	0.190	0.287	0.087	0.426
RP20_CCG009155	RP20_CCG024561	7160.A0A023ER33	7160.A0A182H9A7	0	0	0	0	0.105	0	0.382	0	0.423
RP20_CCG009155	RP20_CCG016099	7160.A0A023ER33	7160.A0A182GUQ1	0	0	0	0	0.070	0.275	0.231	0.062	0.448
RP20_CCG009155	RP20_CCG020002	7160.A0A023ER33	7160.A0A182H1S6	0	0	0	0	0.362	0.582	0.408	0.502	0.910
RP20_CCG009226	RP20_CCG013225	7160.A0A182GFX2	7160.A0A182GP17	0	0	0	0	0	0.084	0.359	0.063	0.401
RP20_CCG009340	RP20_CCG016099	7160.A0A182GUP1	7160.A0A182GUQ1	0	0	0	0	0.044	0.120	0	0.451	0.497
RP20_CCG009705	RP20_CCG025494	7160.A0A182GGX6	7160.A0A023EPY3	0.113	0	0	0	0.154	0.140	0.261	0.304	0.607
RP20_CCG009705	RP20_CCG028035	7160.A0A182GGX6	7160.A0A182HEN7	0	0	0	0	0.137	0.339	0	0.053	0.412
RP20_CCG009705	RP20_CCG017612	7160.A0A182GGX6	7160.A0A182GXI4	0.077	0	0	0	0.447	0	0	0.148	0.527
RP20_CCG009705	RP20_CCG024828	7160.A0A182GGX6	7160.A0A182H9P7	0	0	0	0	0.160	0.426	0.064	0.158	0.569
RP20_CCG009705	RP20_CCG010133	7160.A0A182GGX6	7160.A0A182GHS1	0.084	0	0	0.569	0.453	0.168	0.072	0.189	0.629
RP20_CCG009705	RP20_CCG013219	7160.A0A182GGX6	7160.A0A182GP12	0.077	0	0	0	0.417	0.328	0	0.128	0.642
RP20_CCG009705	RP20_CCG025859	7160.A0A182GGX6	7160.A0A182HBD0	0	0	0	0	0.058	0.620	0	0.178	0.680
RP20_CCG009705	RP20_CCG016160	7160.A0A182GGX6	7160.A0A182GUV3	0	0	0	0	0.056	0.503	0.325	0.176	0.704
RP20_CCG009705	RP20_CCG021775	7160.A0A182GGX6	7160.A0A182H4X0	0.078	0	0	0	0.447	0.428	0.096	0.131	0.729
RP20_CCG009707	RP20_CCG016956	7160.A0A182GGX8	7160.A0A182GWA7	0	0	0	0	0	0.045	0	0.452	0.454
RP20_CCG009707	RP20_CCG018455	7160.A0A182GGX8	7160.A0A182GZ34	0	0	0	0	0	0	0	0.528	0.528
RP20_CCG009707	RP20_CCG013225	7160.A0A182GGX8	7160.A0A182GP17	0	0	0	0	0.041	0.045	0.619	0.061	0.628
RP20_CCG010133	RP20_CCG025494	7160.A0A182GHS1	7160.A0A023EPY3	0	0	0	0	0.173	0.167	0	0.420	0.565
RP20_CCG010133	RP20_CCG024828	7160.A0A182GHS1	7160.A0A182H9P7	0	0	0	0	0.168	0.234	0.066	0.127	0.410
RP20_CCG010133	RP20_CCG016238	7160.A0A182GHS1	7160.A0A182GV15	0	0	0	0	0	0.254	0	0.262	0.425
