"X.node","identifier","uniprot_id","id","protein_name","node_degree"
"RP20_CCG006899","7160.A0A182GBE2","A0A182GBE2","aalb:109430166","A0A182GBE2",3
"RP20_CCG006965","7160.A0A182GBH6","A0A182GBH6","aalb:109410407","A0A182GBH6",2
"RP20_CCG007000","7160.A0A182GBK3","A0A182GBK3","aalb:109422349","EAF1",3
"RP20_CCG007119","7160.A0A182GBS7","A0A182GBS7","aalb:109404628","CLPTM1",1
"RP20_CCG007128","7160.A0A182GBT2","A0A182GBT2","aalb:109406018","A0A182GBT2",0
"RP20_CCG007174","7160.A0A182GBV7","A0A182GBV7","aalb:109397196","A0A182GBV7",3
"RP20_CCG007284","7160.A0A182GC25","A0A182GC25","aalb:109424953","A0A182GC25",0
"RP20_CCG007310","7160.A0A182GC41","A0A182GC41","aalb:109430908","A0A182GC41",3
"RP20_CCG007311","7160.A0A182GC42","A0A182GC42","aalb:109430889","A0A182GC42",1
"RP20_CCG007410","7160.A0A023EIL7","A0A023EIL7","aalb:109427759","GNPNAT1",1
"RP20_CCG007416","7160.A0A182GCB3","A0A182GCB3","aalb:115264288","A0A182GCB3",0
"RP20_CCG007423","7160.A0A182GCC0","A0A182GCC0","aalb:109407629","AKR1A1",1
"RP20_CCG007427","7160.A0A182GCC4","A0A182GCC4","aalb:109425955","AKR1A1",1
"RP20_CCG007490","7160.A0A182GCG5","A0A182GCG5","aalb:109415851","A0A182GCG5",1
"RP20_CCG007527","7160.A0A182GCI3","A0A182GCI3","aalb:109403764","A0A182GCI3",0
"RP20_CCG007750","7160.A0A182GCX7","A0A182GCX7","aalb:109400184","A0A182GCX7",8
"RP20_CCG007786","7160.A0A182GD08","A0A182GD08","aalb:109428360","A0A182GD08",0
"RP20_CCG007836","7160.A0A182GD47","A0A182GD47","aalb:109412786","A0A182GD47",1
"RP20_CCG007886","7160.A0A182GD72","A0A182GD72","aalb:115254172","NFKBIA",2
"RP20_CCG007976","7160.A0A182GDC3","A0A182GDC3","aalb:115262627","A0A182GDC3",0
"RP20_CCG008046","7160.A0A182GDI3","A0A182GDI3","aalb:115270289","CORO1C",3
"RP20_CCG008086","7160.A0A182GDL6","A0A182GDL6","aalb:115269607","A0A182GDL6",1
"RP20_CCG008130","7160.A0A182GDP6","A0A182GDP6","aalb:109622091","GYS2",5
"RP20_CCG008133","7160.A0A023EHT5","A0A023EHT5","aalb:115269159","A0A023EHT5",0
"RP20_CCG008228","7160.A0A182GDW5","A0A182GDW5","aalb:109621577","ADSS",11
"RP20_CCG008258","7160.A0A182GDY7","A0A182GDY7","aalb:115254219","A0A182GDY7",0
"RP20_CCG008318","7160.A0A182GE25","A0A182GE25","aalb:109420802","USP47",0
"RP20_CCG008319","7160.A0A182GE26","A0A182GE26","aalb:109418407","A0A182GE26",6
"RP20_CCG008334","7160.A0A182GE35","A0A182GE35","aalb:109397096","A0A182GE35",3
"RP20_CCG008406","7160.A0A182GE86","A0A182GE86","aalb:109398457","A0A182GE86",6
"RP20_CCG008617","7160.A0A182GEP3","A0A182GEP3","aalb:109418937","A0A182GEP3",5
"RP20_CCG008622","7160.A0A182GEP8","A0A182GEP8","aalb:115267998","A0A182GEP8",0
"RP20_CCG008646","7160.A0A182GER1","A0A182GER1","aalb:115261223","A0A182GER1",3
"RP20_CCG008658","7160.A0A182GER9","A0A182GER9","aalb:115263255","PAXBP1",0
"RP20_CCG008767","7160.A0A182GEZ6","A0A182GEZ6","aalb:109413694","A0A182GEZ6",4
"RP20_CCG008879","7160.A0A182GF70","A0A182GF70","aalb:109430632","A0A182GF70",2
"RP20_CCG008947","7160.A0A182GFC6","A0A182GFC6","aalb:109430713","HNRNPA2B1",3
"RP20_CCG008969","7160.A0A182GFE7","A0A182GFE7","aalb:109427536","A0A182GFE7",0
"RP20_CCG008994","7160.A0A182GFG3","A0A182GFG3","aalb:109415304","A0A182GFG3",1
"RP20_CCG009017","7160.A0A023EE18","A0A023EE18","aalb:109428409","C19orf12",1
"RP20_CCG009046","7160.A0A182GFK3","A0A182GFK3","aalb:109408333","A0A182GFK3",1
"RP20_CCG009151","7160.A0A182GFS4","A0A182GFS4","aalb:109422806","A0A182GFS4",1
"RP20_CCG009155","7160.A0A023ER33","A0A023ER33","aag:5565637","PSMD13",3
"RP20_CCG009226","7160.A0A182GFX2","A0A182GFX2","aalb:109425277","KIF16B",2
"RP20_CCG009285","7160.A0A182GG15","A0A182GG15","aalb:115267220","A0A182GG15",0
"RP20_CCG009300","7160.A0A182GG23","A0A182GG23","aalb:109621807","A0A182GG23",1
"RP20_CCG009340","7160.A0A182GUP1","A0A182GUP1","aalb:109623042","A0A182GUP1",1
"RP20_CCG009367","7160.A0A182GG74","A0A182GG74","aalb:109411874","A0A182GG74",0
"RP20_CCG009444","7160.A0A182GGD0","A0A182GGD0","aalb:109422270","A0A182GGD0",0
"RP20_CCG009668","7160.A0A182GGU3","A0A182GGU3","aalb:109412539","A0A182GGU3",0
"RP20_CCG009705","7160.A0A182GGX6","A0A182GGX6","aalb:109423879","A0A182GGX6",14
"RP20_CCG009707","7160.A0A182GGX8","A0A182GGX8","aalb:109423877","A0A182GGX8",5
"RP20_CCG009737","7160.A0A182GH02","A0A182GH02","aalb:109422732","USP32",1
"RP20_CCG010133","7160.A0A182GHS1","A0A182GHS1","aalb:109418321","A0A182GHS1",8
"RP20_CCG010182","7160.A0A182GHU5","A0A182GHU5","aalb:109405691","A0A182GHU5",2
"RP20_CCG010259","7160.A0A182GI06","A0A182GI06","aalb:109397596","A0A182GI06",4
"RP20_CCG010314","7160.A0A023EFS1","A0A023EFS1","aalb:109402823","FABP5",2
"RP20_CCG010397","7160.A0A182GIB7","A0A182GIB7","aalb:109406299","A0A182GIB7",0
"RP20_CCG010480","7160.A0A182GIH3","A0A182GIH3","aalb:109405207","A0A182GIH3",0
"RP20_CCG010498","7160.A0A182GII8","A0A182GII8","aalb:109424445","A0A182GII8",0
"RP20_CCG010567","7160.A0A182GIN2","A0A182GIN2","aalb:109418256","A0A182GIN2",9
"RP20_CCG010630","7160.A0A182GIS9","A0A182GIS9","aag:5572766","SLC25A19",1
"RP20_CCG010717","7160.A0A182GIZ3","A0A182GIZ3","aalb:115256331","A0A182GIZ3",0
"RP20_CCG010763","7160.A0A182GJ26","A0A182GJ26","aalb:109411189","A0A182GJ26",0
"RP20_CCG010956","7160.A0A182GJD7","A0A182GJD7","aalb:109417726","MON2",3
"RP20_CCG011177","7160.A0A182GJU2","A0A182GJU2","aalb:109427333","A0A182GJU2",1
"RP20_CCG011190","7160.A0A182GJV0","A0A182GJV0","aalb:115270049","A0A182GJV0",2
"RP20_CCG011270","7160.A0A182GK16","A0A182GK16","aalb:109408986","CPSF1",7
"RP20_CCG011302","7160.A0A182GK33","A0A182GK33","aalb:109427671","A0A182GK33",1
"RP20_CCG011598","7160.A0A182GKQ4","A0A182GKQ4","aalb:109429154","BRD4",0
"RP20_CCG011608","7160.A0A182GKR2","A0A182GKR2","aalb:109623136","A0A182GKR2",0
"RP20_CCG011742","7160.A0A023EK43","A0A023EK43","aalb:115254736","Fer2LCH",0
"RP20_CCG011827","7160.A0A182GL68","A0A182GL68","aalb:115264142","A0A182GL68",0
"RP20_CCG011829","7160.A0A182GVZ2","A0A182GVZ2","aalb:115264130","A0A182GVZ2",0
