"uniprot_id","mirna/enriched_term"
"Q17L66","aae-mir-34-5p"
"Q17L66","Anatomical structure development"
"Q17L67","aae-mir-34-5p"
"Q17L67","Anatomical structure development"
"Q17LA6","aae-mir-34-5p"
"Q17LA6","Anatomical structure development"
"Q17LI9","aae-mir-34-5p"
"Q17LI9","Anatomical structure development"
"Q17MT6","aae-mir-34-5p"
"Q17MT6","Anatomical structure development"
"Q17MX1","aae-mir-34-5p"
"Q17MX1","Anatomical structure development"
"Q17MX6","aae-mir-34-5p"
"Q17MX6","Anatomical structure development"
"Q17MX7","aae-mir-34-5p"
"Q17MX7","Anatomical structure development"
"Q17N01","aae-mir-34-5p"
"Q17N01","Anatomical structure development"
"Q17NC1","aae-mir-34-5p"
"Q17NC1","Anatomical structure development"
"Q17NE5","aae-mir-34-5p"
"Q17NE5","Anatomical structure development"
"Q17NJ1","aae-mir-34-5p"
"Q17NJ1","Anatomical structure development"
"Q17NP6","aae-mir-34-5p"
"Q17NP6","Anatomical structure development"
"Q17P09","aae-mir-34-5p"
"Q17P09","Anatomical structure development"
"Q17PG3","aae-mir-34-5p"
"Q17PG3","Anatomical structure development"
"Q17PN7","aae-mir-34-5p"
"Q17PN7","Anatomical structure development"
"Q17PT9","aae-mir-34-5p"
"Q17PT9","Anatomical structure development"
"Q17PU2","aae-mir-34-5p"
"Q17PU2","Anatomical structure development"
"J9EAF0","aae-mir-34-5p"
"J9EAF0","Cell differentiation"
"J9EAN8","aae-mir-34-5p"
"J9EAN8","Cell differentiation"
"Q0IG29","aae-mir-34-5p"
"Q0IG29","Cell differentiation"
"Q16FK4","aae-mir-34-5p"
"Q16FK4","Cell differentiation"
"Q16G14","aae-mir-34-5p"
"Q16G14","Cell differentiation"
"Q16GK5","aae-mir-34-5p"
"Q16GK5","Cell differentiation"
"Q16GL8","aae-mir-34-5p"
"Q16GL8","Cell differentiation"
"Q16HK0","aae-mir-34-5p"
"Q16HK0","Cell differentiation"
"Q16I15","aae-mir-34-5p"
"Q16I15","Cell differentiation"
"Q16I75","aae-mir-34-5p"
"Q16I75","Cell differentiation"
"Q16I88","aae-mir-34-5p"
"Q16I88","Cell differentiation"
"Q16IN4","aae-mir-34-5p"
"Q16IN4","Cell differentiation"
"Q16JN7","aae-mir-34-5p"
"Q16JN7","Cell differentiation"
"Q16L96","aae-mir-34-5p"
