"uniprot_id","enriched_term"
"Q17M42","Anatomical structure development"
"Q17MT6","Anatomical structure development"
"Q17MX1","Anatomical structure development"
"Q17MX6","Anatomical structure development"
"Q17MX7","Anatomical structure development"
"Q17N01","Anatomical structure development"
"Q17NC1","Anatomical structure development"
"Q17NE5","Anatomical structure development"
"Q17NJ1","Anatomical structure development"
"Q17NP6","Anatomical structure development"
"Q17P09","Anatomical structure development"
"Q17PG3","Anatomical structure development"
"Q17PN7","Anatomical structure development"
"Q17PT9","Anatomical structure development"
"Q17PU2","Anatomical structure development"
"Q1HRW3","Anatomical structure development"
"J9EAN8","Multicellular organism development"
"J9HTV7","Multicellular organism development"
"Q0C7B1","Multicellular organism development"
"Q0IE98","Multicellular organism development"
"Q0IE99","Multicellular organism development"
"Q0IF14","Multicellular organism development"
"Q0IFC5","Multicellular organism development"
"Q0IG29","Multicellular organism development"
"Q16FK4","Multicellular organism development"
"Q16G14","Multicellular organism development"
"Q16GL8","Multicellular organism development"
"Q16HK0","Multicellular organism development"
"Q16I15","Multicellular organism development"
"Q16I75","Multicellular organism development"
"Q16I88","Multicellular organism development"
"Q16IN4","Multicellular organism development"
"Q16IW8","Multicellular organism development"
"Q16JC3","Multicellular organism development"
"Q16KQ8","Multicellular organism development"
"Q16KQ9","Multicellular organism development"
"Q16KR0","Multicellular organism development"
"Q16L96","Multicellular organism development"
"Q16LK0","Multicellular organism development"
"Q16LS6","Multicellular organism development"
"Q16LU2","Multicellular organism development"
"Q16LX7","Multicellular organism development"
"Q16M53","Multicellular organism development"
"Q16M54","Multicellular organism development"
"Q16MK4","Multicellular organism development"
"Q16N83","Multicellular organism development"
"Q16N85","Multicellular organism development"
"Q16PP6","Multicellular organism development"
"Q16PT5","Multicellular organism development"
"Q16R23","Multicellular organism development"
"Q16R65","Multicellular organism development"
"Q16R88","Multicellular organism development"
"Q16RM1","Multicellular organism development"
"Q16RU6","Multicellular organism development"
"Q16S36","Multicellular organism development"
"Q16SB0","Multicellular organism development"
"Q16TM2","Multicellular organism development"
"Q16TR7","Multicellular organism development"
